request_id,graph_id,round,pos,token_id,phase,batch_size
r07,0,0,0,0,prefill,2
r07,0,0,1,0,prefill,2
r07,1,1,0,248045,prefill,42
r07,1,1,1,8678,prefill,42
r07,1,1,2,198,prefill,42
r07,1,1,3,24342,prefill,42
r07,1,1,4,286,prefill,42
r07,1,1,5,4879,prefill,42
r07,1,1,6,369,prefill,42
r07,1,1,7,716,prefill,42
r07,1,1,8,310,prefill,42
r07,1,1,9,830,prefill,42
r07,1,1,10,11553,prefill,42
r07,1,1,11,13,prefill,42
r07,1,1,12,5044,prefill,42
r07,1,1,13,1683,prefill,42
r07,1,1,14,15060,prefill,42
r07,1,1,15,1472,prefill,42
r07,1,1,16,279,prefill,42
r07,1,1,17,3274,prefill,42
r07,1,1,18,11,prefill,42
r07,1,1,19,9307,prefill,42
r07,1,1,20,1328,prefill,42
r07,1,1,21,30800,prefill,42
r07,1,1,22,11,prefill,42
r07,1,1,23,2814,prefill,42
r07,1,1,24,47675,prefill,42
r07,1,1,25,25605,prefill,42
r07,1,1,26,11,prefill,42
r07,1,1,27,321,prefill,42
r07,1,1,28,60445,prefill,42
r07,1,1,29,55404,prefill,42
r07,1,1,30,11,prefill,42
r07,1,1,31,27224,prefill,42
r07,1,1,32,11,prefill,42
r07,1,1,33,321,prefill,42
r07,1,1,34,30246,prefill,42
r07,1,1,35,303,prefill,42
r07,1,1,36,279,prefill,42
r07,1,1,37,1534,prefill,42
r07,1,1,38,4087,prefill,42
r07,1,1,39,13,prefill,42
r07,1,1,40,248046,prefill,42
r07,1,1,41,198,prefill,42
r07,2,2,0,248045,prefill,31
r07,2,2,1,846,prefill,31
r07,2,2,2,198,prefill,31
r07,2,2,3,7734,prefill,31
r07,2,2,4,264,prefill,31
r07,2,2,5,12654,prefill,31
r07,2,2,6,5148,prefill,31
r07,2,2,7,421,prefill,31
r07,2,2,8,30718,prefill,31
r07,2,2,9,264,prefill,31
r07,2,2,10,6025,prefill,31
r07,2,2,11,364,prefill,31
r07,2,2,12,491,prefill,31
r07,2,2,13,26555,prefill,31
r07,2,2,14,3425,prefill,31
r07,2,2,15,11,prefill,31
r07,2,2,16,25419,prefill,31
r07,2,2,17,836,prefill,31
r07,2,2,18,10485,prefill,31
r07,2,2,19,11,prefill,31
r07,2,2,20,321,prefill,31
r07,2,2,21,20269,prefill,31
r07,2,2,22,1070,prefill,31
r07,2,2,23,1083,prefill,31
r07,2,2,24,27413,prefill,31
r07,2,2,25,440,prefill,31
r07,2,2,26,8132,prefill,31
r07,2,2,27,13,prefill,31
r07,2,2,28,248046,prefill,31
r07,2,2,29,198,prefill,31
r07,2,2,30,248045,prefill,31
r07,3,3,0,74455,prefill,4
r07,3,3,1,198,prefill,4
r07,3,3,2,248068,prefill,4
r07,3,3,3,198,prefill,4
r07,4,4,0,1596,decode,1
r07,5,5,0,1144,decode,1
r07,6,6,0,4087,decode,1
r07,7,7,0,1156,decode,1
r07,8,8,0,25,decode,1
r07,9,9,0,328,decode,1
r07,10,10,0,7734,decode,1
r07,11,11,0,264,decode,1
r07,12,12,0,12654,decode,1
r07,13,13,0,5148,decode,1
r07,14,14,0,421,decode,1
r07,15,15,0,30718,decode,1
r07,16,16,0,264,decode,1
r07,17,17,0,6025,decode,1
r07,18,18,0,364,decode,1
