graph_id,ctx_id,pos,token_id
0,0,0,0
0,0,1,0
1,0,0,248045
1,0,1,8678
1,0,2,198
1,0,3,24342
1,0,4,286
1,0,5,4879
1,0,6,369
1,0,7,716
1,0,8,310
1,0,9,830
1,0,10,11553
1,0,11,13
1,0,12,5044
1,0,13,1683
1,0,14,15060
1,0,15,1472
1,0,16,279
1,0,17,3274
1,0,18,11
1,0,19,9307
1,0,20,1328
1,0,21,30800
1,0,22,11
1,0,23,2814
1,0,24,47675
1,0,25,25605
1,0,26,11
1,0,27,321
1,0,28,60445
1,0,29,55404
1,0,30,11
1,0,31,27224
1,0,32,11
1,0,33,321
1,0,34,30246
1,0,35,303
1,0,36,279
1,0,37,1534
1,0,38,4087
1,0,39,13
1,0,40,248046
1,0,41,198
2,0,0,248045
2,0,1,846
2,0,2,198
2,0,3,814
2,0,4,20139
2,0,5,1204
2,0,6,44962
2,0,7,42833
2,0,8,20843
2,0,9,9052
2,0,10,7336
2,0,11,11
2,0,12,23752
2,0,13,16175
2,0,14,11
2,0,15,321
2,0,16,7661
2,0,17,30184
2,0,18,13
2,0,19,5272
2,0,20,279
2,0,21,220
2,0,22,17
2,0,23,15
2,0,24,15
2,0,25,23
2,0,26,12
2,0,27,17
2,0,28,15
2,0,29,16
2,0,30,19
2,0,31,11792
2,0,32,24002
2,0,33,4687
2,0,34,430
2,0,35,678
2,0,36,1822
2,0,37,3010
2,0,38,13
2,0,39,248046
2,0,40,198
2,0,41,248045
3,0,0,74455
3,0,1,198
3,0,2,248068
3,0,3,198
4,0,0,1596
5,0,0,1144
6,0,0,4087
7,0,0,1156
8,0,0,579
9,0,0,1622
10,0,0,25
11,0,0,79091
12,0,0,1204
13,0,0,95589
14,0,0,20843
15,0,0,9052
16,0,0,7336
17,0,0,11
18,0,0,23752
19,0,0,16175
20,0,0,11
21,0,0,7661
22,0,0,30184
23,0,0,13
24,0,0,5272
25,0,0,220
26,0,0,17
27,0,0,15
28,0,0,15
29,0,0,23
30,0,0,12
31,0,0,17
32,0,0,15
33,0,0,16
34,0,0,19
35,0,0,22870
36,0,0,4687
37,0,0,430
38,0,0,1822
39,0,0,3010
40,0,0,13
41,0,0,14235
42,0,0,7936
43,0,0,1534
44,0,0,4087
45,0,0,13
46,0,0,14235
47,0,0,4222
48,0,0,2830
49,0,0,23038
50,0,0,11
51,0,0,5721
52,0,0,11
53,0,0,24580
54,0,0,1798
55,0,0,13
56,0,0,6558
57,0,0,579
58,0,0,1683
59,0,0,25522
60,0,0,13
61,0,0,271
62,0,0,1596
63,0,0,1144
64,0,0,10033
65,0,0,44962
66,0,0,42833
67,0,0,25
68,0,0,8358
69,0,0,5883
70,0,0,22757
71,0,0,4860
72,0,0,9375
73,0,0,32700
74,0,0,318
75,0,0,51
76,0,0,48721
77,0,0,10086
78,0,0,11
79,0,0,380
80,0,0,7116
81,0,0,8
82,0,0,310
83,0,0,4570
84,0,0,1248
85,0,0,9375
86,0,0,7566
87,0,0,11
88,0,0,8952
89,0,0,7915
90,0,0,10517
91,0,0,11
92,0,0,8028
93,0,0,13527
94,0,0,1340
95,0,0,4687
96,0,0,13
97,0,0,28193
98,0,0,25
99,0,0,198
100,0,0,12
101,0,0,21904
102,0,0,7336
103,0,0,25
104,0,0,18967
105,0,0,12013
106,0,0,278
107,0,0,8703
108,0,0,11
109,0,0,4570
110,0,0,10766
111,0,0,7566
112,0,0,11
113,0,0,5048
114,0,0,76830
115,0,0,5323
116,0,0,11
117,0,0,50265
118,0,0,11
119,0,0,40593
120,0,0,13
121,0,0,95589
122,0,0,16
123,0,0,4470
124,0,0,220
125,0,0,17
126,0,0,15
127,0,0,15
128,0,0,23
129,0,0,393
130,0,0,21
131,0,0,15
132,0,0,15
133,0,0,10758
134,0,0,8815
135,0,0,11301
136,0,0,9964
137,0,0,7116
138,0,0,11
139,0,0,95589
140,0,0,17
141,0,0,4470
142,0,0,220
143,0,0,17
144,0,0,15
145,0,0,16
146,0,0,15
147,0,0,393
148,0,0,21
149,0,0,15
150,0,0,15
151,0,0,10758
152,0,0,1248
153,0,0,9375
154,0,0,12118
155,0,0,299
156,0,0,10086
157,0,0,11
158,0,0,95589
159,0,0,18
160,0,0,5207
161,0,0,220
162,0,0,17
163,0,0,15
164,0,0,16
165,0,0,17
166,0,0,393
167,0,0,19
168,0,0,15
169,0,0,10758
170,0,0,45741
171,0,0,380
172,0,0,7116
173,0,0,478
174,0,0,393
175,0,0,19
176,0,0,20
177,0,0,10758
178,0,0,45741
179,0,0,12118
180,0,0,299
181,0,0,10086
182,0,0,2980
183,0,0,24793
184,0,0,361
185,0,0,22
186,0,0,4
187,0,0,30
188,0,0,9202
189,0,0,4756
190,0,0,220
191,0,0,17
192,0,0,15
193,0,0,16
194,0,0,19
195,0,0,13
196,0,0,21904
197,0,0,7336
198,0,0,15537
199,0,0,25
200,0,0,3128
201,0,0,1313
202,0,0,11
203,0,0,11384
204,0,0,11
205,0,0,25521
206,0,0,11
207,0,0,6459
208,0,0,41139
209,0,0,13
210,0,0,22870
211,0,0,7915
212,0,0,10517
213,0,0,494
214,0,0,3835
215,0,0,3
216,0,0,15
217,0,0,13
218,0,0,24
219,0,0,51
220,0,0,310
221,0,0,3835
222,0,0,3
223,0,0,19
224,0,0,13
225,0,0,20
226,0,0,51
227,0,0,13
228,0,0,326
229,0,0,41429
230,0,0,220
231,0,0,20
232,0,0,15
233,0,0,15
234,0,0,494
235,0,0,75294
236,0,0,2783
237,0,0,220
238,0,0,17
239,0,0,15
240,0,0,15
241,0,0,24
242,0,0,3835
243,0,0,21
244,0,0,21
245,0,0,21
246,0,0,310
247,0,0,220
248,0,0,17
249,0,0,15
250,0,0,16
251,0,0,19
252,0,0,3835
253,0,0,17
254,0,0,15
255,0,0,15
256,0,0,15
257,0,0,13
258,0,0,11206
259,0,0,29274
260,0,0,14808
261,0,0,11384
262,0,0,1857
263,0,0,24530
264,0,0,13
265,0,0,34292
266,0,0,10498
267,0,0,41139
268,0,0,70454
269,0,0,13
270,0,0,1921
271,0,0,23749
272,0,0,2632
273,0,0,2503
274,0,0,26
275,0,0,975
276,0,0,9085
277,0,0,13
278,0,0,198
279,0,0,12
280,0,0,733
281,0,0,61982
282,0,0,16175
283,0,0,25
284,0,0,95589
285,0,0,20878
286,0,0,310
287,0,0,5190
288,0,0,687
289,0,0,2227
290,0,0,11
291,0,0,16602
292,0,0,16175
293,0,0,3043
294,0,0,220
295,0,0,17
296,0,0,13948
297,0,0,733
298,0,0,220
299,0,0,17
300,0,0,15
301,0,0,15
302,0,0,23
303,0,0,12
304,0,0,17
305,0,0,15
306,0,0,16
307,0,0,19
308,0,0,11
309,0,0,30143
310,0,0,23752
311,0,0,3238
312,0,0,11
313,0,0,6007
314,0,0,3835
315,0,0,16
316,0,0,13
317,0,0,20
318,0,0,12
319,0,0,17
320,0,0,12997
321,0,0,1248
322,0,0,9375
323,0,0,23752
324,0,0,16175
325,0,0,14733
326,0,0,318
327,0,0,51
328,0,0,25114
329,0,0,5114
330,0,0,706
331,0,0,20450
332,0,0,11
333,0,0,10258
334,0,0,553
335,0,0,95589
336,0,0,4222
337,0,0,7021
338,0,0,16175
339,0,0,539
340,0,0,40593
341,0,0,14713
342,0,0,321
343,0,0,17191
344,0,0,9495
345,0,0,5048
346,0,0,314
347,0,0,687
348,0,0,2227
349,0,0,11
350,0,0,694
351,0,0,1467
352,0,0,524
353,0,0,6707
354,0,0,1496
355,0,0,23752
356,0,0,1521
357,0,0,2468
358,0,0,12558
359,0,0,11
360,0,0,44101
361,0,0,11
362,0,0,3238
363,0,0,14984
364,0,0,11
365,0,0,3521
366,0,0,61590
367,0,0,61982
368,0,0,11
369,0,0,5415
370,0,0,11
371,0,0,18489
372,0,0,6310
373,0,0,7234
374,0,0,13
375,0,0,95589
376,0,0,17
377,0,0,6970
378,0,0,8953
379,0,0,16175
380,0,0,25989
381,0,0,391
382,0,0,26
383,0,0,95589
384,0,0,18
385,0,0,4487
386,0,0,18252
387,0,0,13
388,0,0,14235
389,0,0,6088
390,0,0,16175
391,0,0,5323
392,0,0,25
393,0,0,413
394,0,0,569
395,0,0,13212
396,0,0,22870
397,0,0,668
398,0,0,2426
399,0,0,7566
400,0,0,3238
401,0,0,321
402,0,0,3569
403,0,0,11433
404,0,0,11
405,0,0,3481
406,0,0,23752
407,0,0,35937
408,0,0,11
409,0,0,1865
410,0,0,7566
411,0,0,4255
412,0,0,11
413,0,0,91097
414,0,0,9862
415,0,0,13
416,0,0,1921
417,0,0,413
418,0,0,16175
419,0,0,74483
420,0,0,11
421,0,0,2376
422,0,0,6973
423,0,0,13
424,0,0,198
425,0,0,12
426,0,0,31447
427,0,0,30184
428,0,0,25
429,0,0,9052
430,0,0,3240
431,0,0,23752
432,0,0,7328
433,0,0,9052
434,0,0,7576
435,0,0,318
436,0,0,86272
437,0,0,7661
438,0,0,14
439,0,0,29537
440,0,0,8
441,0,0,777
442,0,0,1056
443,0,0,18489
444,0,0,92645
445,0,0,26
446,0,0,9050
447,0,0,7661
448,0,0,4191
449,0,0,10729
450,0,0,26
451,0,0,11600
452,0,0,19342
453,0,0,13
454,0,0,95589
455,0,0,8640
456,0,0,66795
457,0,0,8322
458,0,0,321
459,0,0,13989
460,0,0,11
461,0,0,17191
462,0,0,30184
463,0,0,4417
464,0,0,6672
465,0,0,321
466,0,0,25325
467,0,0,18539
468,0,0,37242
469,0,0,14
470,0,0,1278
471,0,0,66
472,0,0,39844
473,0,0,30
474,0,0,48482
475,0,0,13
476,0,0,1049
477,0,0,1189
478,0,0,599
479,0,0,82923
480,0,0,11600
481,0,0,30184
482,0,0,1521
483,0,0,1844
484,0,0,27897
485,0,0,3222
486,0,0,21789
487,0,0,11
488,0,0,10105
489,0,0,11
490,0,0,5713
491,0,0,11433
492,0,0,26
493,0,0,5445
494,0,0,16681
495,0,0,383
496,0,0,22402
497,0,0,11
498,0,0,8091
499,0,0,11
500,0,0,2599
501,0,0,11433
502,0,0,13
503,0,0,7054
504,0,0,3238
505,0,0,7566
506,0,0,12528
507,0,0,10854
508,0,0,382
509,0,0,318
510,0,0,2054
511,0,0,540
512,0,0,287
513,0,0,8
514,0,0,321
